dataset,algo,metric,k,linkage,distance_threshold,eps,min_samples,random_state,n_clusters,noise_ratio,intra_mean,inter_mean,silhouette,homogeneity,completeness,v_measure
NYC Taxi,agglomerative_h,euclidean,,complete,10.0,,,42,23,0.0,4.989698825757049,13.268048326551954,0.24940717880379437,0.07629488210369374,0.052297155414497164,0.062056802018448085
NYC Taxi,agglomerative_h,euclidean,,complete,20.0,,,42,4,0.0,6.306028031928403,16.081527545074014,0.6729362096710745,0.05513621977711102,0.42061028997011574,0.09749251297977339
NYC Taxi,dbscan,euclidean,,,,0.5,5,,63,0.3795,0.6584292227362513,4.029677806470831,-0.09971715525897477,0.18518464087473413,0.058845047851321254,0.08931043686111921
NYC Taxi,dbscan,euclidean,,,,0.5,10,,31,0.472875,0.7497658298251684,2.8897299235684684,-0.10766759679581245,0.1276293183460438,0.04311971378000855,0.06446115223606377
NYC Taxi,dbscan,euclidean,,,,0.5,20,,16,0.6005,0.7777308019811711,2.7226453484091895,0.0004150535273342552,0.09392339203605286,0.03524397428742527,0.051254952518215505
NYC Taxi,dbscan,euclidean,,,,1.0,5,,43,0.14575,1.256807236752297,7.594809846538579,0.09993830391856053,0.07977992483178362,0.039489266211812445,0.052829245549072534
NYC Taxi,dbscan,euclidean,,,,1.0,10,,19,0.200125,1.3679214054515276,7.136425083961914,0.10166511620591809,0.04957772555752691,0.029752983233498242,0.0371882530673911
NYC Taxi,dbscan,euclidean,,,,1.0,20,,8,0.258,1.5197828805316527,3.093205877994539,0.0734105635861445,0.02126695900181578,0.016049623895482413,0.01829356639214145
NYC Taxi,dbscan,euclidean,,,,1.5,5,,22,0.067625,2.0029954857487713,8.084476963609307,0.2970268425188796,0.06925768983619685,0.04956689017946436,0.057780777440858036
NYC Taxi,dbscan,euclidean,,,,1.5,10,,15,0.089375,2.0715800481777573,8.39419435880584,0.3186190899640331,0.06636410073115064,0.051587160245229635,0.058050002528315346
NYC Taxi,dbscan,euclidean,,,,1.5,20,,6,0.13575,2.1465155412159906,9.342185807907347,0.3195658924234584,0.045275753505883656,0.04615570474086946,0.045711494726426105
IEEE-CIS,kmeans,euclidean,2,,,,,42,2,0.0,28.25634838732804,31.21638360364941,0.44812299945430756,0.3299687078162143,0.8469704092113254,0.4749162083963461
IEEE-CIS,kmeans,euclidean,3,,,,,42,3,0.0,96.37155934207681,148.61690694139904,0.4172195939691377,0.33723065154009746,0.8441033443685625,0.48192555496488926
